"key","denote1","denote2","pvalue","warning","t1","t2"
"entropy_1920_~_entropy_2000",0.596585870695941,0.595760653713378,0.6743511947509,NA,-0.135504080269281,-0.144948727646852
"betweenness_1930_~_betweenness_1940",0.99,0.99,0.998209442947722,"Data contain duplicated values: LSCV is not well-behaved in this case",-1.05893484977259e-06,-3.65335487825392e-07
"betweenness_1930_~_zipf_1940",0.73844356122963,0.596591043445653,0,NA,-0.165507746134376,-1.67915192175928e-08
"betweenness_1930_~_spectral_diversity_1940",0.861262460690845,0.346560978951777,1.15463194561016e-13,NA,-0.0747731462668198,-7.09067524825256e-09
"betweenness_1930_~_entropy_1940",0.45453167301814,0.11578966753139,0,NA,-0.334885008838032,-1.8747414746263e-09
"zipf_1930_~_betweenness_1940",0.590487422642697,0.736224121101503,0,NA,-5.35419936086071e-08,-0.16623564532794
"zipf_1930_~_zipf_1940",0.589052153364819,0.589281227032176,0.985978271931566,NA,-0.172298607029217,-0.172399110057054
"zipf_1930_~_spectral_diversity_1940",0.519936045069441,0.542924124385569,0.312722679155204,NA,-0.0041558132349641,-0.0300451329148429
"zipf_1930_~_entropy_1940",0.4480708260576,0.390427620729681,0.00220857778900729,NA,-0.0800279716724538,-0.0124395109134596
"spectral_diversity_1930_~_betweenness_1940",0.357161970590472,0.854277590176352,0,NA,-3.05524875450265e-08,-0.0608691344768452
"spectral_diversity_1930_~_zipf_1940",0.528140760352458,0.50821070933495,0.41843781469497,NA,-0.0288287959517131,-0.00679046427861377
"spectral_diversity_1930_~_spectral_diversity_1940",0.977627101259633,0.97731996631952,0.757105515931149,NA,-0.00852630519964494,-0.00779134756822487
"entropy_1930_~_betweenness_1940",0.132205805316839,0.546243905469818,0,NA,-1.77798706154012e-08,-0.261766629925436
"entropy_1930_~_zipf_1940",0.385840679772249,0.442818966131054,0.000342135964331858,NA,-0.015854305229864,-0.0889414769727146
"entropy_1930_~_entropy_1940",0.703120734817293,0.699854956482805,0.367841931297238,NA,-0.122992012222679,-0.110968119726621
"betweenness_1930_~_betweenness_1950",0.99,0.99,0.998686058978088,"Data contain duplicated values: LSCV is not well-behaved in this case",-1.05420393032698e-06,-6.2067992992242e-07
"betweenness_1930_~_zipf_1950",0.734771585728575,0.586508712212361,0,NA,-0.175380175287982,-1.68178223146468e-08
"betweenness_1930_~_spectral_diversity_1950",0.869585456507349,0.354520501565852,2.74669176292264e-13,NA,-0.0718085197947955,-7.23190949842982e-09
"betweenness_1930_~_entropy_1950",0.430294927362465,0.109006829870144,0,NA,-0.329504436783934,-1.56029193575854e-09
"zipf_1930_~_betweenness_1950",0.629969720126679,0.749798080614393,0,NA,-1.41319407332275e-07,-0.156419743907916
"zipf_1930_~_zipf_1950",0.662785962268371,0.662631198877888,0.90529680773806,NA,-0.140402649269832,-0.142585435512708
"zipf_1930_~_spectral_diversity_1950",0.517542829434358,0.53864394477818,0.22200306855622,NA,-0.00513185874297246,-0.0414859944903117
"zipf_1930_~_entropy_1950",0.453914735026456,0.394822923076412,0.00101998707512774,NA,-0.0853354823381439,-0.0149771695664378
"spectral_diversity_1930_~_betweenness_1950",0.37674723227695,0.858389750449938,0,NA,-4.01086402607596e-08,-0.0712509736672915
"spectral_diversity_1930_~_zipf_1950",0.51267157169739,0.496514094313616,0.466680504118081,NA,-0.0288680747562695,-0.00764251920415202
"spectral_diversity_1930_~_spectral_diversity_1950",0.94750792397544,0.946838098936934,0.692647982459565,NA,-0.0169869586160542,-0.0208032827632256
"entropy_1930_~_betweenness_1950",0.13404118873741,0.519880022957551,0,NA,-3.02480784743669e-08,-0.29296573130418
"entropy_1930_~_zipf_1950",0.403511207123706,0.470064675370135,0.00210070709454602,NA,-0.0138396074278265,-0.0604824397548185
"entropy_1930_~_entropy_1950",0.721397584401607,0.722329600779557,0.430379103628279,NA,-0.0978011551285242,-0.10986274873965
"betweenness_1930_~_betweenness_1960",0.99,0.99,0.999626493260984,NA,-8.1310179428688e-07,-4.32236678444492e-07
"betweenness_1930_~_zipf_1960",0.735583350790217,0.585747088285406,0,NA,-0.173652806972651,-1.60105491033694e-08
"betweenness_1930_~_spectral_diversity_1960",0.860254321048721,0.349662160287372,2.12496686913255e-13,NA,-0.0786193209038855,-6.75059022264493e-09
"betweenness_1930_~_entropy_1960",0.464738058661377,0.103416569011874,0,NA,-0.328292482667629,-1.74572873310699e-09
"zipf_1930_~_betweenness_1960",0.576879521491834,0.717479005429949,0,NA,-2.30016615141944e-07,-0.18023820341409
"zipf_1930_~_zipf_1960",0.552667835562297,0.552940597910758,0.835018713532804,NA,-0.177678698943814,-0.181516106437581
"zipf_1930_~_spectral_diversity_1960",0.4752623854388,0.482631405116032,0.454802896288976,NA,-0.0229162125020745,-0.04951114691421
"zipf_1930_~_entropy_1960",0.397051661877186,0.332833123285364,0.000164376757893159,NA,-0.103989187262446,-0.0131673692798246
"spectral_diversity_1930_~_betweenness_1960",0.369904106823229,0.846873843898926,0,NA,-1.13716208337904e-07,-0.0781506070278922
"spectral_diversity_1930_~_zipf_1960",0.499549552323975,0.486796097449131,0.494516798570787,NA,-0.0302721189959845,-0.00845016493431824
"spectral_diversity_1930_~_spectral_diversity_1960",0.941562463512002,0.942964296417568,0.787874685492014,NA,-0.0200321547632723,-0.0163269108300853
